round,accuracy,auc,method,dataset,noise_type,alpha,noise_rate,noisy_fraction,seed,feature_set
29,0.8114237934728645,0.760308481492282,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
30,0.8148467508034805,0.7657238233562222,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
31,0.8108489456768833,0.7574577963986064,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
32,0.8147161035771211,0.7592530380692375,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
33,0.813448825481435,0.7599448591141218,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
34,0.814729168299757,0.7607678339765566,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
35,0.8101173212092707,0.7619922142248208,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
36,0.8129262365759975,0.7599746743048923,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
37,0.8147422330223929,0.7605038264435979,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
38,0.8137754435473334,0.7633133920776702,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
39,0.8137754435473334,0.7629899306950187,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
40,0.8149773980298398,0.7643575468082218,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
41,0.8100911917639988,0.7645398938233829,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
42,0.8101303859319067,0.7632565851672809,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
43,0.810274097880902,0.7639056917353904,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
44,0.8136317315983381,0.7650871197080958,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
45,0.8139322202189647,0.7663169869815768,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
46,0.8138538318831491,0.7689410373730207,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
47,0.8139975438321444,0.7657066738063621,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
48,0.8118026704293068,0.7660005816807477,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
49,0.8157482166653602,0.7704652278899421,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
50,0.8157612813879961,0.7740237433903061,fedavg,brfss,asymmetric,0.1,0.0,0.2,123,original
1,0.7926236575997492,0.3410838909281276,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
2,0.7926236575997492,0.3487328684628789,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
3,0.7926236575997492,0.3552644263963059,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
4,0.7926236575997492,0.3592802133819787,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
5,0.7926236575997492,0.3612993265122029,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
6,0.7926236575997492,0.3794779646285358,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
7,0.7926236575997492,0.3806022575492981,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
8,0.7926236575997492,0.3499474750772777,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
9,0.7926236575997492,0.3821914990139289,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
10,0.7926236575997492,0.3916108843419332,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
11,0.7926236575997492,0.371159522249865,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
12,0.7926236575997492,0.3905890847739238,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
13,0.7926236575997492,0.4078004270112266,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
14,0.7926236575997492,0.42445243847113,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
15,0.7926236575997492,0.4326371195530074,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
16,0.7926236575997492,0.4077505100350375,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
17,0.7926236575997492,0.4021231487482785,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
18,0.7926236575997492,0.4013801391786854,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
19,0.7926236575997492,0.4070283078590451,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
20,0.7926236575997492,0.3970569552085648,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
21,0.7926236575997492,0.3977633598609715,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
22,0.7926236575997492,0.4120660169465985,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
23,0.7926236575997492,0.4138441173747508,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
24,0.7926236575997492,0.4034269844238691,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
25,0.7926236575997492,0.3766250178503553,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
26,0.7926236575997492,0.3900739295339503,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
27,0.7926236575997492,0.3964819556719868,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
28,0.7926236575997492,0.3858286667217093,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
29,0.7926236575997492,0.4048491426476888,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
30,0.7926236575997492,0.4219681628819738,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
31,0.7926236575997492,0.3925821989165707,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
32,0.7926236575997492,0.3865631513606591,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
33,0.7926236575997492,0.4022251504079126,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
34,0.7926236575997492,0.3985141539658674,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
35,0.7926236575997492,0.378249159661413,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
36,0.7926236575997492,0.3832977545334762,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
37,0.7926236575997492,0.3805030591115742,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
38,0.7926236575997492,0.3878554101814746,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
39,0.7926236575997492,0.3726636514798508,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
40,0.7926236575997492,0.3927899509415604,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
41,0.7926236575997492,0.3763857091998318,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
42,0.7926236575997492,0.3789051956237834,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
43,0.7926236575997492,0.3995355495874707,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
44,0.7926236575997492,0.3915958625200577,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
45,0.7926236575997492,0.3857067870567351,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
46,0.7926236575997492,0.3907245521991108,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
47,0.7926236575997492,0.3964365132589431,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
